,median_abs_coef,median_perm_importance,presence_freq,coef_nonzero_given_present,pi_nonzero_freq,consensus_rank
core__t1ce__wavelet-LHH_glcm_ClusterShade,0.014058052333072262,0.0,1.0,0.5,0.3,499.5
core__flair__wavelet-HHH_firstorder_Median,0.013434662184909216,0.0,1.0,0.6,0.3,500.5
core__t2__wavelet-LHL_glcm_Correlation,0.011648703686623598,0.0,1.0,0.5,0.3,502.5
core__t1__log-sigma-0-5-mm-3D_firstorder_Skewness,0.011262026132966734,0.0,0.7,0.5714285714285714,0.14285714285714285,503.5
core__flair__wavelet-LLH_gldm_DependenceVariance,0.005421219880603677,0.0,1.0,0.5,0.3,510.5
core__flair__wavelet-HHL_firstorder_Median,0.004774101874393749,0.0,1.0,0.5,0.3,511.5
core__t1ce__wavelet-HLH_glcm_ClusterShade,0.003801596624416537,0.0,1.0,0.5,0.2,513.5
core__t2__wavelet-LLL_firstorder_Skewness,0.002129467884032903,0.0,1.0,0.5,0.3,516.5
core__t1ce__wavelet-HLL_glcm_InverseVariance,0.0020183860454026656,0.0,1.0,0.5,0.2,518.5
core__t1__log-sigma-3-0-mm-3D_glrlm_GrayLevelVariance,0.0011616425307023435,0.0,0.9,0.5555555555555556,0.4444444444444444,519.5
core__t2__wavelet-LHH_glcm_MaximumProbability,0.36925680645605213,-0.00021634694329475735,0.3,1.0,0.3333333333333333,527.0
core__flair__wavelet-LHH_gldm_DependenceVariance,0.09583430912388581,-1.1102230246251565e-16,1.0,0.8,0.4,541.0
core__flair__wavelet-LLH_firstorder_Mean,0.20311583167160746,-2.220446049250313e-16,0.9,0.7777777777777778,0.3333333333333333,546.5
core__flair__wavelet-LLL_glcm_Idn,0.0,1.1102230246251565e-16,0.1,0.0,0.0,547.0
core__t1__wavelet-HHL_firstorder_Skewness,0.09180773632082787,-1.1102230246251565e-16,1.0,0.8,0.4,547.0
core__t1ce__wavelet-LLL_firstorder_Skewness,0.08546687737168113,-1.1102230246251565e-16,1.0,0.6,0.2,551.0
core__t1ce__wavelet-HHH_firstorder_Median,0.08435076132123415,-1.1102230246251565e-16,1.0,0.6,0.2,552.0
core__t1ce__wavelet-HLH_ngtdm_Contrast,0.3317486708716458,-0.0014162072668221493,0.9,1.0,0.4444444444444444,552.0
core__t1__log-sigma-2-0-mm-3D_glcm_MCC,0.0,5.551115123125783e-17,0.2,0.0,0.0,554.0
core__t2__wavelet-HHL_glcm_InverseVariance,0.0,5.551115123125783e-17,1.0,0.4,0.4,554.0
core__t2__log-sigma-1-0-mm-3D_glcm_ClusterShade,0.0,5.551115123125783e-17,0.2,0.0,0.0,554.0
core__t1__wavelet-HLH_glcm_InverseVariance,0.0836397008989385,-1.1102230246251565e-16,1.0,0.6,0.3,554.0
core__flair__log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.25774040372590423,-0.0002458610329928346,0.3,1.0,0.3333333333333333,563.0
core__flair__log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.29032126111942547,-0.008285621482125223,1.0,0.9,0.3,573.0
core__t1ce__log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.06145436991373065,-1.1102230246251565e-16,1.0,0.7,0.3,574.0
core__t2__wavelet-HHL_firstorder_Median,0.2030901317876722,-9.992007221626409e-16,1.0,0.7,0.3,574.5
core__t2__wavelet-HLL_glcm_InverseVariance,0.06124225951060904,-1.1102230246251565e-16,1.0,0.6,0.3,575.0
core__t2__wavelet-LHL_firstorder_Median,0.05150493661076114,-1.1102230246251565e-16,1.0,0.5,0.3,582.0
core__t1__wavelet-HLL_firstorder_Mean,0.0462176466478261,-1.1102230246251565e-16,1.0,0.6,0.2,588.0
core__t1__wavelet-HLL_glszm_ZoneEntropy,0.036444467669596206,-1.1102230246251565e-16,1.0,0.6,0.2,595.0
core__t1__wavelet-HHL_firstorder_Median,0.19819040770537036,-0.000308004858863371,1.0,0.9,0.4,598.0
